	kommunenr	kommune	lat	lon	lat_lon
1	0101	Halden	59.122580000000006	11.387089999999999	59.12258,11.38709
2	0104	Moss	59.43436	10.65968	59.43436,10.65968
3	0105	Sarpsborg	59.28148	11.11167	59.28148,11.11167
4	0106	Fredrikstad	59.21759	10.93787	59.21759,10.93787
5	0111	Hvaler	59.02809	11.0311	59.02809,11.0311
6	0118	Aremark	59.22198	11.69582	59.22198,11.69582
7	0119	Marker	59.479519999999994	11.65917	59.47952,11.65917
8	0121	Rømskog	59.749680000000005	11.81122	59.74968,11.81122
9	0122	Trøgstad	59.640159999999995	11.3189	59.64016,11.3189
10	0123	Spydeberg	59.62028000000001	11.080689999999999	59.62028,11.08069
11	0124	Askim	59.58464	11.160839999999999	59.58464,11.16084
12	0125	Eidsberg	59.551480000000005	11.33587	59.55148,11.33587
13	0127	Skiptvet	59.477509999999995	11.161710000000001	59.47751,11.16171
14	0128	Rakkestad	59.428219999999996	11.3435	59.42822,11.3435
15	0135	Råde	59.35162	10.87135	59.35162,10.87135
16	0136	Rygge	59.406290000000006	10.69298	59.40629,10.69298
17	0137	Våler	59.4887	10.86551	59.4887,10.86551
18	0138	Hobøl	59.622519999999994	10.94979	59.62252,10.94979
20	0211	Vestby	59.60228000000001	10.74807	59.60228,10.74807
21	0213	Ski	59.720490000000005	10.83882	59.72049,10.83882
22	0214	Ås	59.66366	10.79101	59.66366,10.79101
23	0215	Frogn	59.66665	10.635660000000001	59.66665,10.63566
24	0216	Nesodden	59.8422	10.6494	59.8422,10.6494
25	0217	Oppegård	59.81149	10.79712	59.81149,10.79712
26	0219	Bærum	59.889959999999995	10.526489999999999	59.88996,10.52649
27	0220	Asker	59.837340000000005	10.43595	59.83734,10.43595
28	0221	Aurskog-Høland	59.88321	11.564910000000001	59.88321,11.56491
29	0226	Sørum	59.98709	11.24019	59.98709,11.24019
30	0227	Fet	59.92216	11.16778	59.92216,11.16778
31	0228	Rælingen	59.92626	11.06527	59.92626,11.06527
32	0229	Enebakk	59.76452	11.144919999999999	59.76452,11.14492
33	0230	Lørenskog	59.93209	10.96079	59.93209,10.96079
34	0231	Skedsmo	59.954480000000004	11.03952	59.95448,11.03952
35	0233	Nittedal	60.04278000000001	10.88167	60.04278,10.88167
36	0234	Gjerdrum	60.07159	11.035969999999999	60.07159,11.03597
37	0235	Ullensaker	60.144009999999994	11.17441	60.14401,11.17441
38	0236	Nes	60.122519999999994	11.4657	60.12252,11.4657
39	0237	Eidsvoll	60.32893000000001	11.26119	60.32893,11.26119
40	0238	Nannestad	60.21706999999999	11.012	60.21707,11.012
41	0239	Hurdal	60.43518	11.06707	60.43518,11.06707
43	0301	Oslo	59.911828	10.733672	59.911828,10.733672
45	0402	Kongsvinger	60.19116999999999	11.99916	60.19117,11.99916
46	0403	Hamar	60.794509999999995	11.0783	60.79451,11.0783
47	0412	Ringsaker	60.88216	10.9503	60.88216,10.9503
48	0415	Løten	60.81771	11.34373	60.81771,11.34373
49	0417	Stange	60.715759999999996	11.19069	60.71576,11.19069
50	0418	Nord-Odal	60.39195	11.54151	60.39195,11.54151
51	0419	Sør-Odal	60.25455	11.68246	60.25455,11.68246
52	0420	Eidskog	59.98556	12.12502	59.98556,12.12502
53	0423	Grue	60.451330000000006	12.054889999999999	60.45133,12.05489
54	0425	Åsnes	60.61363000000001	12.012	60.61363,12.012
55	0426	Våler	60.67845	11.83314	60.67845,11.83314
56	0427	Elverum	60.88159	11.563139999999999	60.88159,11.56314
57	0428	Trysil	61.315490000000004	12.26422	61.31549,12.26422
58	0429	Åmot	61.13199	11.373280000000001	61.13199,11.37328
59	0430	Stor-Elvdal	61.57198	11.04759	61.57198,11.04759
60	0432	Rendalen	61.89004	11.076939999999999	61.89004,11.07694
61	0434	Engerdal	61.757740000000005	11.959660000000001	61.75774,11.95966
62	0436	Tolga	62.40984	10.9977	62.40984,10.9977
63	0437	Tynset	62.273869999999995	10.77626	62.27387,10.77626
64	0438	Alvdal	62.108540000000005	10.634830000000001	62.10854,10.63483
65	0439	Folldal	62.13329	9.9971	62.13329,9.9971
66	0441	Os	62.49536	11.228069999999999	62.49536,11.22807
68	0501	Lillehammer	61.11464	10.46743	61.11464,10.46743
69	0502	Gjøvik	60.79472	10.69287	60.79472,10.69287
70	0511	Dovre	61.98582	9.24947	61.98582,9.24947
71	0512	Lesja	62.11785	8.86262	62.11785,8.86262
72	0513	Skjåk	61.88349	8.2649	61.88349,8.2649
73	0514	Lom	61.83639	8.56811	61.83639,8.56811
74	0515	Vågå	61.87565	9.09572	61.87565,9.09572
75	0516	Nord-Fron	61.59556	9.7483	61.59556,9.7483
76	0517	Sel	61.772780000000004	9.53415	61.77278,9.53415
77	0519	Sør-Fron	61.55651999999999	9.93949	61.55652,9.93949
